datetime,open,high,low,close,rsi,ema1,ema2,atr
2026-01-17 15:30:00,4595.27991,4595.48014,4595.21768,4595.33973,52.33691,4599.32914,4595.18522,0.30077
2026-01-17 15:45:00,4595.27991,4595.47962,4595.22073,4595.2521,48.48264,4599.28858,4595.18784,0.29778
2026-01-17 16:00:00,4595.27991,4595.4781,4595.21869,4595.28078,49.78602,4599.2487,4595.19149,0.29504
2026-01-17 16:15:00,4595.27991,4595.47963,4595.22075,4595.3722,53.79855,4599.21013,4595.19857,0.29246
2026-01-17 16:30:00,4595.27991,4595.48014,4595.21767,4595.35564,52.9728,4599.17177,4595.20473,0.29031
2026-01-17 16:45:00,4595.27991,4595.47555,4595.21767,4595.26202,48.44562,4599.13287,4595.20698,0.288
2026-01-17 17:00:00,4595.27991,4595.47963,4595.2187,4595.26618,48.6556,4599.0944,4595.2093,0.28606
2026-01-17 17:15:00,4595.27991,4595.47809,4595.2187,4595.36035,53.29322,4599.05724,4595.21522,0.28416
2026-01-17 17:30:00,4595.27991,4595.47963,4595.21767,4595.36867,53.6912,4599.02054,4595.22124,0.28257
2026-01-17 17:45:00,4595.27991,4595.48014,4595.22378,4595.2756,48.69294,4598.98328,4595.22337,0.2807
2026-01-17 18:00:00,4595.27991,4595.47963,4595.21767,4595.25495,47.63339,4598.94618,4595.22461,0.27936
2026-01-17 18:15:00,4595.27991,4595.47808,4595.21869,4595.34528,52.50224,4598.91035,4595.22934,0.27794
2026-01-17 18:30:00,4595.27991,4595.47962,4595.21871,4595.3779,54.15974,4598.8752,4595.23517,0.27672
2026-01-17 18:45:00,4595.27991,4595.47556,4595.21767,4595.29189,49.27688,4598.83954,4595.23739,0.27537
2026-01-17 19:00:00,4595.27991,4595.48014,4595.21767,4595.24787,46.94414,4598.80381,4595.2378,0.27445
2026-01-17 19:15:00,4595.27991,4595.47964,4595.22076,4595.32806,51.45274,4598.76922,4595.24134,0.27334
2026-01-17 19:30:00,4595.27991,4595.47811,4595.21869,4595.38269,54.30181,4598.73552,4595.24689,0.27235
2026-01-17 19:45:00,4595.27991,4595.47962,4595.22072,4595.30975,50.07621,4598.70144,4595.24935,0.27139
2026-01-17 20:00:00,4595.27991,4595.48014,4595.21768,4595.24545,46.63127,4598.66705,4595.2492,0.27075
2026-01-17 20:15:00,4595.27991,4595.47551,4595.21767,4595.30987,50.31881,4598.63364,4595.25158,0.26983
2026-01-17 20:30:00,4595.27991,4595.47964,4595.21868,4595.38271,54.1744,4598.6013,4595.25672,0.26919
2026-01-17 20:45:00,4595.27991,4595.47812,4595.21872,4595.32794,50.97122,4598.56873,4595.25951,0.26849
2026-01-17 21:00:00,4595.27991,4595.47961,4595.22071,4595.24784,46.62893,4598.53568,4595.25906,0.26781
2026-01-17 21:15:00,4595.27991,4595.48014,4595.21768,4595.292,49.19845,4598.50341,4595.26035,0.26743
2026-01-17 21:30:00,4595.27991,4595.4755,4595.21766,4595.37795,53.85507,4598.47231,4595.26496,0.26674
2026-01-17 21:45:00,4595.27991,4595.47964,4595.21867,4595.34517,51.9011,4598.44119,4595.26811,0.26633
2026-01-17 22:00:00,4595.27991,4595.47812,4595.21872,4595.25489,46.85858,4598.40949,4595.26759,0.26583
2026-01-17 22:15:00,4595.27991,4595.47961,4595.21768,4595.2757,48.11004,4598.37831,4595.26791,0.26556
2026-01-17 22:30:00,4595.27991,4595.48014,4595.22373,4595.36874,53.39457,4598.34836,4595.27186,0.2649
2026-01-17 22:45:00,4595.27991,4595.47974,4595.2115,4595.35425,52.49786,4598.31857,4595.27509,0.26514
2026-01-17 23:00:00,4595.27358,4595.47186,4595.21244,4595.26007,46.97582,4598.28814,4595.2745,0.26473
2026-01-17 23:15:00,4595.27358,4595.47334,4595.21229,4595.25548,46.71791,4598.25796,4595.27376,0.26447
2026-01-17 23:30:00,4595.27358,4595.46905,4595.21131,4595.34905,52.44943,4598.22901,4595.27671,0.26399
2026-01-17 23:45:00,4595.27358,4595.47381,4595.21136,4595.36604,53.42902,4598.20053,4595.28021,0.26388
2026-01-18 00:00:00,4595.27358,4595.47324,4595.21429,4595.27472,47.73658,4598.17142,4595.28,0.26353
2026-01-18 00:15:00,4595.27358,4595.47185,4595.21229,4595.24563,46.05335,4598.1423,4595.27865,0.26324
2026-01-18 00:30:00,4595.27358,4595.47334,4595.21453,4595.3331,51.58179,4598.11435,4595.28078,0.26293
2026-01-18 00:45:00,4595.27358,4595.47381,4595.21131,4595.37377,53.94506,4598.08708,4595.28443,0.2629
2026-01-18 01:00:00,4595.27358,4595.46934,4595.21136,4595.29169,48.77118,4598.05927,4595.28471,0.26254
2026-01-18 01:15:00,4595.27358,4595.47325,4595.21243,4595.24014,45.80015,4598.03122,4595.28297,0.26242
2026-01-18 01:30:00,4595.27358,4595.47167,4595.2123,4595.31539,50.53697,4598.00419,4595.28424,0.2622
2026-01-18 01:45:00,4595.27358,4595.47334,4595.21132,4595.37691,54.07101,4597.97805,4595.28787,0.26219
2026-01-18 02:00:00,4595.27358,4595.47381,4595.21731,4595.30982,49.88512,4597.9515,4595.28873,0.26178
2026-01-18 02:15:00,4595.27358,4595.47325,4595.21136,4595.2394,45.87106,4597.92451,4595.2868,0.26179
2026-01-18 02:30:00,4595.27358,4595.47183,4595.21243,4595.29717,49.46365,4597.89837,4595.28721,0.26162
2026-01-18 02:45:00,4595.27358,4595.47168,4595.21231,4595.37524,53.91512,4597.87327,4595.29066,0.26146
2026-01-18 03:00:00,4595.27358,4595.47333,4595.21132,4595.32781,50.97727,4597.84794,4595.29211,0.2615
2026-01-18 03:15:00,4595.27358,4595.47381,4595.21733,4595.24346,46.15999,4597.82202,4595.29021,0.26114
2026-01-18 03:30:00,4595.27358,4595.47326,4595.21136,4595.27971,48.41604,4597.79673,4595.28979,0.2612
2026-01-18 03:45:00,4595.27358,4595.47183,4595.21242,4595.36887,53.56943,4597.77257,4595.2929,0.26107
2026-01-18 04:00:00,4595.27358,4595.47333,4595.21231,4595.34443,52.03485,4597.74841,4595.29492,0.26106
2026-01-18 04:15:00,4595.27358,4595.4691,4595.21132,4595.25204,46.60024,4597.72357,4595.29324,0.26083
2026-01-18 04:30:00,4595.27358,4595.47381,4595.21135,4595.26424,47.38175,4597.6991,4595.2921,0.26095
2026-01-18 04:45:00,4595.27358,4595.47326,4595.21433,4595.35824,53.07953,4597.67581,4595.29469,0.2608
2026-01-18 05:00:00,4595.27358,4595.47182,4595.21232,4595.3585,53.09465,4597.65275,4595.29719,0.26071
2026-01-18 05:15:00,4595.27358,4595.47332,4595.21449,4595.26453,47.17409,4597.62898,4595.29591,0.26057
2026-01-18 05:30:00,4595.27358,4595.47381,4595.21132,4595.25182,46.42011,4597.60533,4595.29418,0.26071
2026-01-18 05:45:00,4595.27358,4595.46929,4595.21135,4595.34411,52.3727,4597.58283,4595.29614,0.26051
2026-01-18 06:00:00,4595.27358,4595.47326,4595.21241,4595.36904,53.86377,4597.5608,4595.299,0.26054
2026-01-18 06:15:00,4595.27358,4595.4717,4595.21232,4595.28006,48.07821,4597.53811,4595.29826,0.26045
2026-01-18 06:30:00,4595.27358,4595.47332,4595.21132,4595.24333,45.88715,4597.51528,4595.2961,0.26057
2026-01-18 06:45:00,4595.27358,4595.47381,4595.21737,4595.32745,51.35488,4597.49351,4595.29733,0.26027
2026-01-18 07:00:00,4595.27358,4595.47327,4595.21135,4595.37532,54.19151,4597.47243,4595.30039,0.26039
2026-01-18 07:15:00,4595.27358,4595.4718,4595.2124,4595.29755,49.17459,4597.45079,4595.30028,0.26032
2026-01-18 07:30:00,4595.27358,4595.47331,4595.21233,4595.23937,45.76147,4597.42879,4595.29789,0.26037
2026-01-18 07:45:00,4595.27358,4595.46914,4595.21133,4595.30944,50.24094,4597.4077,4595.29834,0.26018
2026-01-18 08:00:00,4595.27358,4595.47381,4595.21135,4595.3769,54.16565,4597.38749,4595.30143,0.26035
2026-01-18 08:15:00,4595.27358,4595.47327,4595.21436,4595.31577,50.29443,4597.36688,4595.30199,0.26024
2026-01-18 08:30:00,4595.27358,4595.47179,4595.21239,4595.24021,45.92526,4597.34572,4595.29956,0.26018
2026-01-18 08:45:00,4595.27358,4595.47331,4595.21234,4595.29133,49.14413,4597.32527,4595.29924,0.26024
2026-01-18 09:00:00,4595.27358,4595.46915,4595.21133,4595.37366,53.90329,4597.30585,4595.30216,0.26007
2026-01-18 09:15:00,4595.27358,4595.47381,4595.21135,4595.33345,51.37459,4597.28623,4595.30339,0.26024
2026-01-18 09:30:00,4595.27358,4595.47328,4595.21437,4595.24579,46.27768,4597.26593,4595.30113,0.26014
