datetime,open,high,low,close,ema1,ema2,rsi,atr
2026-02-07 12:00:00,4959.02113,4959.23978,4958.95149,4959.11455,4924.98191,4798.43775,54.30375,73.07294
2026-02-07 08:00:00,4959.03441,4959.25404,4958.95148,4959.07286,4923.58874,4796.82291,54.3003,78.67176
2026-02-07 04:00:00,4959.04463,4959.24918,4958.95148,4959.01417,4922.14041,4795.19226,54.29578,84.70016
2026-02-07 00:00:00,4959.02806,4959.26106,4958.95147,4959.01339,4920.63536,4793.54581,54.29572,91.19265
2026-02-06 20:00:00,4957.64609,4964.08055,4938.91135,4959.05485,4919.06891,4791.88282,54.29899,98.18366
2026-02-06 16:00:00,4941.46203,4972.30477,4927.49088,4957.75097,4917.43683,4790.2027,54.21851,103.80015
2026-02-06 12:00:00,4893.66083,4960.15145,4874.71489,4941.48424,4915.79136,4788.51879,53.26511,108.33756
2026-02-06 08:00:00,4843.04664,4894.84706,4824.43303,4892.7357,4914.74267,4786.98145,50.39014,110.09918
2026-02-06 04:00:00,4825.17513,4899.48713,4809.20533,4843.3913,4915.64091,4785.9186,47.34563,113.15188
2026-02-06 00:00:00,4704.49039,4841.76707,4654.91557,4825.17997,4918.58988,4785.34098,46.21445,114.91112
2026-02-05 20:00:00,4830.27158,4844.7768,4702.30329,4704.34443,4922.40252,4784.94059,38.00913,109.37724
2026-02-05 16:00:00,4813.42243,4913.09643,4812.71355,4831.82164,4931.30286,4785.7506,44.68747,106.83137
2026-02-05 12:00:00,4868.36366,4876.33907,4798.77728,4812.86473,4935.36331,4785.28758,43.3121,107.32741
2026-02-05 08:00:00,4916.92828,4944.17513,4847.54738,4868.41526,4940.36326,4785.01042,46.45528,109.61707
2026-02-05 04:00:00,4877.99108,4936.03288,4836.93992,4917.16143,4943.29991,4784.17218,49.37495,110.61625
2026-02-05 00:00:00,5011.17578,5019.80524,4799.80156,4876.85635,4944.36678,4782.8356,46.80823,111.50266
2026-02-04 20:00:00,4941.44978,5024.78529,4918.70715,5010.78829,4947.12231,4781.89067,55.48903,103.15643
2026-02-04 16:00:00,4921.82026,4959.18026,4863.23494,4941.50845,4944.5237,4779.59019,51.1363,102.93168
2026-02-04 12:00:00,5048.59959,5065.25523,4905.3436,4921.82875,4944.64677,4777.96287,49.84253,103.46909
2026-02-04 08:00:00,5087.83013,5090.59261,5017.15369,5048.52803,4945.57812,4776.51699,59.21551,99.12736
2026-02-04 04:00:00,5069.45662,5090.97076,5053.10733,5087.86973,4941.37608,4773.78321,62.61034,101.10339
2026-02-04 00:00:00,4948.25108,5074.17083,4947.87068,5069.54366,4935.39675,4770.62656,61.65958,105.968
2026-02-03 20:00:00,4926.18518,4972.2359,4906.67906,4947.88399,4929.92137,4767.62237,54.53247,104.40399
2026-02-03 16:00:00,4932.79574,4993.13125,4879.40351,4926.47711,4929.1882,4765.81069,53.10826,107.39224
2026-02-03 12:00:00,4913.69903,4948.74094,4895.01338,4932.85977,4929.29886,4764.19595,53.57286,106.90489
2026-02-03 08:00:00,4918.26387,4943.55226,4879.83837,4914.32335,4929.15351,4762.50084,52.4511,110.99545
2026-02-03 04:00:00,4809.84593,4931.66835,4804.19234,4918.39003,4929.75882,4760.97498,52.71055,114.6325
2026-02-03 00:00:00,4772.338,4854.02918,4746.45067,4809.93917,4930.22286,4759.39292,46.10937,113.64453
2026-02-02 20:00:00,4685.64115,4774.42609,4647.23171,4772.4534,4935.1324,4758.88492,43.58166,114.11115
2026-02-02 16:00:00,4626.56995,4712.75212,4605.20706,4687.13788,4941.77235,4758.74856,37.37373,113.10475
2026-02-02 12:00:00,4764.8595,4812.44631,4625.53877,4625.53877,4952.1656,4759.46826,32.38573,113.53242
2026-02-02 08:00:00,4593.77757,4778.18342,4564.46448,4763.52697,4965.49731,4760.81429,38.81661,107.88818
2026-02-02 04:00:00,4647.29916,4708.33078,4410.8453,4593.38239,4973.74099,4760.78702,20.81285,99.74735
2026-02-02 00:00:00,4745.30624,4879.10052,4625.43033,4646.92504,4989.26583,4762.46948,22.77082,84.53672
2026-02-01 20:00:00,4865.35405,4875.84344,4693.42718,4744.41692,5003.23893,4763.63073,27.07778,71.52646
2026-02-01 16:00:00,4865.35613,4865.59398,4865.28403,4865.45954,5013.80309,4763.82384,34.62899,62.99647
2026-02-01 12:00:00,4865.35613,4865.56813,4865.29019,4865.40642,5019.85793,4762.80237,34.62156,67.81851
2026-02-01 08:00:00,4865.35613,4865.56813,4865.29019,4865.33682,5026.16207,4761.77117,34.61252,73.01394
2026-02-01 04:00:00,4865.35613,4865.56813,4865.2902,4865.32433,5032.72637,4760.73031,34.61102,78.60902
2026-02-01 00:00:00,4865.35613,4865.56813,4865.29021,4865.38174,5039.5591,4759.67912,34.61442,84.63449
2026-01-31 20:00:00,4865.35613,4865.56813,4865.29022,4865.45029,5046.66838,4758.61678,34.6182,91.12345
2026-01-31 16:00:00,4865.35613,4865.56813,4865.29022,4865.45982,5054.06504,4757.54308,34.61868,98.11157
2026-01-31 12:00:00,4865.38549,4865.60144,4865.2891,4865.40057,5061.76321,4756.45849,34.61337,105.63724
2026-01-31 08:00:00,4865.35636,4865.59592,4865.26173,4865.3609,5069.77802,4755.36359,34.61006,113.73916
2026-01-31 04:00:00,4865.3514,4865.61224,4865.27065,4865.32657,5078.12157,4754.25809,34.60741,122.46261
2026-01-31 00:00:00,4865.35661,4865.60224,4865.25411,4865.38255,5086.80708,4753.14182,34.60953,131.85654
2026-01-30 20:00:00,4943.36462,4943.36462,4829.73898,4865.4488,5095.84482,4752.01378,34.61187,141.97257
2026-01-30 16:00:00,5050.97179,5051.41567,4706.06585,4940.66781,5105.24874,4750.87373,37.26807,144.1531
2026-01-30 12:00:00,5133.21282,5141.49022,4984.69542,5051.45062,5111.96633,4748.96625,41.63813,128.67374
2026-01-30 08:00:00,5180.2238,5180.2238,4951.91327,5134.17214,5114.43635,4745.9262,45.32307,126.51059
2026-01-30 04:00:00,5197.23917,5240.75811,5126.99068,5179.87405,5113.63081,4742.02423,47.47867,118.67982
2026-01-30 00:00:00,5439.18263,5451.71009,5128.9908,5197.61021,5110.92701,4737.62373,48.30661,119.0577
